name,formatted_address,電話,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
車之輪汽車百貨-中華門市,701台南市東區中華東路三段235號,06 289 6898,,,,,,,,,,,,,,,,,,,,,,,
安翔汽車,701台南市東區慶東街6號,06 236 6610,,,,,,,,,,,,,,,,,,,,,,,
富成汽車修護,701台南市東區東門路三段77號,06 269 5169,,,,,,,,,,,,,,,,,,,,,,,
鼎峰汽車精緻維修保養廠,701台南市東區自由路一段160號,0936 353 543,,,,,,,,,,,,,,,,,,,,,,,
昇輝汽車保養廠,701台南市東區裕義路552號,06 331 3546,,,,,,,,,,,,,,,,,,,,,,,
路馳揚南市裕農店-威禾汽車保養廠,701台南市東區裕農路939號,06 238 0052,,,,,,,,,,,,,,,,,,,,,,,
凱大車廠,702台南市南區中華南路二段29號,06 262 2942,,,,,,,,,,,,,,,,,,,,,,,
KING台南店(冠鑫車業行）,702台南市南區大同路二段582號,06 290 6026,,,,,,,,,,,,,,,,,,,,,,,
高銘汽車修護廠,702台南市安南區本田路三段151號,06 245 3388,,,,,,,,,,,,,,,,,,,,,,,
毅鎂汽車保養廠,704台南市北區中華北路一段73號,06 350 6908,,,,,,,,,,,,,,,,,,,,,,,
路路安汽修連鎖-台南宇弘店,704台南市北區公園南路239號,06 220 4857,,,,,,,,,,,,,,,,,,,,,,,
路馳揚汽車,704台南市北區公園路509巷8弄44號,06 281 8137,,,,,,,,,,,,,,,,,,,,,,,
賓仕汽車商行,708台南市安平區安平路142-146號,06 250 8732,,,,,,,,,,,,,,,,,,,,,,,
台南鉅鋒車業,708台南市安平區建平七街687號,06 297 8699,,,,,,,,,,,,,,,,,,,,,,,
順興車業,708台南市安平區文平路472號,06 299 7186,,,,,,,,,,,,,,,,,,,,,,,
大有汽車修護廠,709台南市安南區北安路二段319號,06 247 1018,,,,,,,,,,,,,,,,,,,,,,,
承泰汽車保養廠,709台南市安南區海佃路二段309號,06 246 6966,,,,,,,,,,,,,,,,,,,,,,,
賓晟汽車修護廠,710台南市永康區中正南路253號,06 253 5920,,,,,,,,,,,,,,,,,,,,,,,
Sum優質中古車商聯盟-第一汽車,710台南市永康區永大路三段7號,06 201 4106,,,,,,,,,,,,,,,,,,,,,,,
崇偉汽車修護廠,712台南市新化區竹子腳158-6號,06 598 2788,,,,,,,,,,,,,,,,,,,,,,,
SUM晟鎰保修,717台南市仁德區大同路三段298號,06 269 1753,,,,,,,,,,,,,,,,,,,,,,,
新泰汽車修理廠有限公司,717台南市仁德區太子路735號,06 511 1777,,,,,,,,,,,,,,,,,,,,,,,
金帝汽車有限公司,744台南市新市區中華路31號,06 599 5316,,,,,,,,,,,,,,,,,,,,,,,
瓏昇車業,744台南市新市區富強路106號,06 589 9355,,,,,,,,,,,,,,,,,,,,,,,
千騏汽車企業社,800高雄市新興區七賢一路71號,07 223 8299,,,,,,,,,,,,,,,,,,,,,,,
大同車業TaTung motors,801高雄市前金區自強二路75號,07 241 0911,,,,,,,,,,,,,,,,,,,,,,,
安達仕汽修聯盟-苓雅定益店,802高雄市苓雅區四維二路122號,0929 783 991,,,,,,,,,,,,,,,,,,,,,,,
晉弘汽車保養廠,802高雄市苓雅區正言路16號,07 721 9188,,,,,,,,,,,,,,,,,,,,,,,
迦南汽車企業社,802高雄市苓雅區武智街35號,0928 732 899,,,,,,,,,,,,,,,,,,,,,,,
福斯商用車販售部,802高雄市苓雅區澄清路22號,07 745 3131,,,,,,,,,,,,,,,,,,,,,,,
華興汽車修護,802高雄市苓雅區興中一路267號,07 333 2938,,,,,,,,,,,,,,,,,,,,,,,
中一汽車,803高雄市鹽埕區建國四路181之1號,07 551 7476,,,,,,,,,,,,,,,,,,,,,,,
興龍汽車保養廠,803高雄市鹽埕區新樂街246號,07 521 0856,,,,,,,,,,,,,,,,,,,,,,,
總輪車業,804高雄市鼓山區鼓山二路80-2號,07 531 3369,,,,,,,,,,,,,,,,,,,,,,,
活塞汽車專業,804高雄市鼓山區中華一路2125號,07 955 4567,,,,,,,,,,,,,,,,,,,,,,,
以馬內利汽車修護廠,804高雄市鼓山區中華一路282-1號,07 555 3711,,,,,,,,,,,,,,,,,,,,,,,
啟郕汽車保養場,804高雄市鼓山區大順一路121號,07 559 1338,,,,,,,,,,,,,,,,,,,,,,,
千順汽車,804高雄市鼓山區明倫路476之2號,07 555 5569,,,,,,,,,,,,,,,,,,,,,,,
日陞汽車-MICHELIN.Mobil.Koni,804高雄市鼓山區明誠三路592號,07 552 4680,,,,,,,,,,,,,,,,,,,,,,,
明正汽車保養廠,804高雄市鼓山區河西一路109號,07 533 6836,,,,,,,,,,,,,,,,,,,,,,,
